"Mês/Ano";"Ação Orçamentária";"Programa Orçamentário";"Função";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"05/2016";"10SC - APOIO A IMPLANTACAO, AMPLIACAO OU MELHORIAS EM SISTEMAS DE ABASTECIMENTO DE AGUA EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"PE";"RECIFE";"R$ 1.882.541,41";
"04/2014";"1P95 - APOIO A ELABORACAO DE PLANOS E PROJETOS DE SANEAMENTO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"PE";"RECIFE";"R$ 767.494,02";
"07/2016";"1N08 - APOIO A IMPLANTACAO, AMPLIACAO OU MELHORIAS DE SISTEMAS DE ESGOTAMENTO SANITARIO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SERVIÇOS URBANOS DE ÁGUA E ESGOTO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"PE";"RECIFE";"R$ 707.238,24";
"12/2017";"10SG - APOIO A SISTEMAS DE DRENAGEM URBANA SUSTENTAVEL E DE MANEJO DE AGUAS PLUVIAIS EM MUNICIPIOS CRITICOS SUJEITOS A EVENTOS RECORRENTES DE INUNDACOES, ENXURRADAS E ALAGAMENTOS";"GESTAO DE RISCOS E DE DESASTRES";"17 - Saneamento";"Administração Pública Municipal";"PE";"JABOATÃO DOS GUARARAPES";"R$ 8.562,50";
"11/2015";"10SG - APOIO A SISTEMAS DE DRENAGEM URBANA SUSTENTAVEL E DE MANEJO DE AGUAS PLUVIAIS EM MUNICIPIOS CRITICOS SUJEITOS A EVENTOS RECORRENTES DE INUNDACOES, ENXURRADAS E ALAGAMENTOS";"GESTAO DE RISCOS E DE DESASTRES";"17 - Saneamento";"Administração Pública Municipal";"PE";"JABOATÃO DOS GUARARAPES";"R$ 181.587,53";
"02/2016";"1P95 - APOIO A ELABORACAO DE PLANOS E PROJETOS DE SANEAMENTO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"PE";"RECIFE";"R$ 756.941,25";
"01/2015";"10TB - Elaboração de Projetos de Saneamento nas Bacias Receptoras da Integração com o Rio São Francisco em Municípios com mais de 50 mil Habitantes ou Integrantes de Consórcios Públicos com mais de 150 mil Habitantes";"INTEGRAÇÃO DE BACIAS HIDROGRÁFICAS";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"PE";"RECIFE";"R$ 133.199,81";
"06/2015";"10S5 - APOIO A EMPREENDIMENTOS DE SANEAMENTO INTEGRADO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"PE";"OLINDA";"R$ 437.406,21";
"06/2015";"1N08 - APOIO A IMPLANTACAO, AMPLIACAO OU MELHORIAS DE SISTEMAS DE ESGOTAMENTO SANITARIO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SERVIÇOS URBANOS DE ÁGUA E ESGOTO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"PE";"RECIFE";"R$ 1.008.286,20";
"10/2016";"10SG - APOIO A SISTEMAS DE DRENAGEM URBANA SUSTENTAVEL E DE MANEJO DE AGUAS PLUVIAIS EM MUNICIPIOS CRITICOS SUJEITOS A EVENTOS RECORRENTES DE INUNDACOES, ENXURRADAS E ALAGAMENTOS";"DRENAGEM URBANA E CONTROLE DE EROSÃO MARÍTIMA E FLUVIAL";"17 - Saneamento";"Administração Pública Municipal";"PE";"JABOATÃO DOS GUARARAPES";"R$ 182.997,32";
"07/2016";"1P95 - APOIO A ELABORACAO DE PLANOS E PROJETOS DE SANEAMENTO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"PE";"RECIFE";"R$ 566.622,91";
"07/2017";"1N08 - APOIO A IMPLANTACAO, AMPLIACAO OU MELHORIAS DE SISTEMAS DE ESGOTAMENTO SANITARIO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"PE";"RECIFE";"R$ 208.072,62";
"04/2014";"10S5 - APOIO A EMPREENDIMENTOS DE SANEAMENTO INTEGRADO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"PE";"OLINDA";"R$ 91.628,71";
"10/2014";"10SC - APOIO A IMPLANTACAO, AMPLIACAO OU MELHORIAS EM SISTEMAS DE ABASTECIMENTO DE AGUA EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"PE";"RECIFE";"R$ 556.010,07";
"04/2016";"1P95 - APOIO A ELABORACAO DE PLANOS E PROJETOS DE SANEAMENTO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"PE";"RECIFE";"R$ 177.107,31";
"08/2014";"10SC - APOIO A IMPLANTACAO, AMPLIACAO OU MELHORIAS EM SISTEMAS DE ABASTECIMENTO DE AGUA EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"PE";"RECIFE";"R$ 4.536,95";
"11/2017";"10SG - APOIO A SISTEMAS DE DRENAGEM URBANA SUSTENTAVEL E DE MANEJO DE AGUAS PLUVIAIS EM MUNICIPIOS CRITICOS SUJEITOS A EVENTOS RECORRENTES DE INUNDACOES, ENXURRADAS E ALAGAMENTOS";"DRENAGEM URBANA E CONTROLE DE EROSÃO MARÍTIMA E FLUVIAL";"17 - Saneamento";"Administração Pública Municipal";"PE";"CABO DE SANTO AGOSTINHO";"R$ 568.301,42";
"05/2017";"1P95 - APOIO A ELABORACAO DE PLANOS E PROJETOS DE SANEAMENTO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"PE";"RECIFE";"R$ 205.443,03";
"12/2014";"10S5 - APOIO A EMPREENDIMENTOS DE SANEAMENTO INTEGRADO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"PE";"OLINDA";"R$ 727,57";
"08/2014";"1N08 - APOIO A IMPLANTACAO, AMPLIACAO OU MELHORIAS DE SISTEMAS DE ESGOTAMENTO SANITARIO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SERVIÇOS URBANOS DE ÁGUA E ESGOTO";"17 - Saneamento";"Administração Pública Municipal";"PE";"PETROLINA";"R$ 41.968,98";
"12/2017";"10SG - APOIO A SISTEMAS DE DRENAGEM URBANA SUSTENTAVEL E DE MANEJO DE AGUAS PLUVIAIS EM MUNICIPIOS CRITICOS SUJEITOS A EVENTOS RECORRENTES DE INUNDACOES, ENXURRADAS E ALAGAMENTOS";"DRENAGEM URBANA E CONTROLE DE EROSÃO MARÍTIMA E FLUVIAL";"17 - Saneamento";"Administração Pública Municipal";"PE";"CABO DE SANTO AGOSTINHO";"R$ 3.064.839,53";
"06/2014";"1P95 - APOIO A ELABORACAO DE PLANOS E PROJETOS DE SANEAMENTO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"PE";"RECIFE";"R$ 492.644,54";
