"Mês/Ano";"Ação Orçamentária";"Programa Orçamentário";"Função";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"03/2014";"8744 - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"CAICÓ";"R$ 77.696,00";
"03/2014";"8744 - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"CORONEL JOÃO PESSOA";"R$ 12.338,00";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"TABOLEIRO GRANDE";"R$ 2.211,49";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"SANTA MARIA";"R$ 3.787,02";
"03/2014";"8744 - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"JUCURUTU";"R$ 21.760,00";
"01/2014";"20RV - APOIO A MANUTENCAO DA EDUCACAO INFANTIL";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"RIACHO DA CRUZ";"R$ 69.831,41";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"ACARI";"R$ 5.540,53";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"LAGOA DE PEDRAS";"R$ 7.344,33";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"ALEXANDRIA";"R$ 7.579,68";
"03/2014";"8744 - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"JARDIM DO SERIDÓ";"R$ 15.904,00";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"JOÃO CÂMARA";"R$ 22.645,69";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"BOM JESUS";"R$ 7.584,40";
"02/2014";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"SERRINHA DOS PINTOS";"R$ 641.836,03";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"ITAÚ";"R$ 3.737,27";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"BARAÚNA";"R$ 19.581,43";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"TENENTE ANANIAS";"R$ 6.769,94";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"BOM JESUS";"R$ 7.584,40";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"SÃO BENTO DO TRAIRÍ";"R$ 3.122,02";
"02/2014";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"OLHO-D'ÁGUA DO BORGES";"R$ 78.443,32";
"03/2014";"8744 - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"LAJES PINTADAS";"R$ 12.496,00";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"RODOLFO FERNANDES";"R$ 3.650,10";
"03/2014";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"CANGUARETAMA";"R$ 234.225,00";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"EQUADOR";"R$ 4.381,21";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"RUY BARBOSA";"R$ 3.150,35";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"CEARÁ-MIRIM";"R$ 48.342,04";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"CORONEL EZEQUIEL";"R$ 3.670,44";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"CAICÓ";"R$ 22.948,96";
